Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Avg. Prec.,TT (Sec)
CatBoost Classifier,0.4544,0.6272,0.7139,0.1214,0.2018,0.054,0.0922,0.1815,6.274
Light Gradient Boosting Machine,0.4564,0.6299,0.7154,0.1218,0.2027,0.055,0.0937,0.1776,0.174
Extreme Gradient Boosting,0.4865,0.6213,0.6699,0.1216,0.2006,0.0539,0.0867,0.1735,0.748
Ada Boost Classifier,0.4179,0.6047,0.7314,0.1169,0.1949,0.0453,0.0794,0.1417,0.276
Logistic Regression,0.4062,0.5904,0.7177,0.1112,0.1864,0.035,0.0652,0.137,0.572
Quadratic Discriminant Analysis,0.2838,0.5992,0.889,0.1084,0.1912,0.0325,0.0827,0.1367,0.072
Linear Discriminant Analysis,0.4061,0.586,0.7133,0.1099,0.1845,0.0329,0.062,0.1315,0.076
Random Forest Classifier,0.5453,0.6061,0.5945,0.121,0.1987,0.0538,0.0815,0.1298,0.576
K Neighbors Classifier,0.735,0.571,0.333,0.1341,0.1902,0.067,0.0762,0.1251,2.684
Extra Trees Classifier,0.5576,0.5937,0.5605,0.1197,0.194,0.0498,0.0724,0.1212,0.474
Decision Tree Classifier,0.5539,0.5769,0.5642,0.1176,0.1928,0.0474,0.0706,0.1163,0.098
Naive Bayes,0.6333,0.542,0.3831,0.1127,0.1434,0.0237,0.0321,0.1098,0.066
Dummy Classifier,0.9077,0.5,0.0,0.0,0.0,0.0,0.0,0.0923,0.05
SVM - Linear Kernel,0.4877,0.0,0.6007,0.1088,0.1792,0.0308,0.0501,0.0,0.08
Ridge Classifier,0.4236,0.0,0.682,0.1093,0.1815,0.031,0.0561,0.0,0.056
